ID,country,family_importance,friends_importance,leisure_importance,work_importance,freedom,life_satisfaction,financial_satisfaction,political_scale,birthyear,age,religiousity,sex,marital_status,employment
702070435,SGP,1,1,2,1,5,1,1,5,1977,42,A religious person,Male,Married,Full time
702070436,SGP,1,3,2,1,2,2,2,-1,1953,66,A religious person,Male,Divorced,Full time
702070437,SGP,1,1,2,2,9,6,5,6,1962,57,A religious person,Male,Married,Self employed
702070438,SGP,1,1,3,1,8,8,6,2,1966,53,An atheist,Female,Married,Full time
702070439,SGP,1,1,2,2,5,5,5,5,1973,47,A religious person,Female,Married,Homemaker
702070440,SGP,1,3,3,1,7,8,8,6,1977,42,A religious person,Male,Married,Full time
702070441,SGP,1,1,2,1,7,6,4,6,1959,60,A religious person,Female,Married,Retired/pensioned
702070442,SGP,1,2,1,2,5,5,5,3,1998,22,Not a religious person,Female,Single,Full time
702070443,SGP,1,1,1,1,7,7,6,5,1988,32,Not a religious person,Male,Single,Self employed
702070444,SGP,1,2,2,2,6,5,5,5,1965,54,A religious person,Male,Married,Self employed
702070445,SGP,1,1,2,2,8,8,7,5,1975,44,An atheist,Female,Single,Part time
702070446,SGP,2,4,2,1,10,7,7,6,1974,46,Not a religious person,Male,Married,Full time
702070447,SGP,1,2,1,1,8,8,7,5,1974,45,A religious person,Female,Single,Full time
702070448,SGP,1,1,1,2,9,8,8,4,1977,42,An atheist,Female,Single,Full time
702070449,SGP,2,3,2,2,7,7,7,5,1965,54,A religious person,Female,Single,Unemployed
702070450,SGP,1,1,2,1,9,9,9,3,1989,31,A religious person,Male,Single,Unemployed
702070451,SGP,1,2,2,1,8,8,7,5,1989,30,A religious person,Male,Married,Full time
702070452,SGP,1,1,2,2,8,7,8,5,1977,43,Not a religious person,Female,Married,Full time
702070453,SGP,1,2,3,2,8,6,8,5,1965,54,A religious person,Male,Married,Part time
702070454,SGP,1,1,3,2,8,7,6,6,1980,40,A religious person,Female,Married,Part time
702070455,SGP,1,1,2,2,7,3,3,8,1987,33,Not a religious person,Male,Married,Full time
702070456,SGP,1,2,2,1,8,7,5,3,1987,32,Not a religious person,Female,Married,Full time
702070457,SGP,1,1,1,2,7,8,8,5,1996,24,Not a religious person,Male,Single,Student
702070458,SGP,1,2,3,2,8,8,7,4,1972,48,A religious person,Male,Married,Full time
702070459,SGP,1,2,1,1,6,7,6,4,1954,65,A religious person,Male,Married,Part time
702070460,SGP,1,2,2,2,8,7,7,5,1995,25,A religious person,Female,Single,Full time
702070461,SGP,1,2,2,3,7,7,7,9,1972,47,A religious person,Female,Single,Full time
702070462,SGP,1,1,2,2,8,8,8,-1,1962,58,A religious person,Female,Married,Full time
702070463,SGP,1,2,1,2,8,7,6,4,1988,31,Not a religious person,Female,Single,Full time
702070464,SGP,1,1,1,1,8,8,8,5,1978,41,A religious person,Female,Single,Full time
702070465,SGP,1,2,3,2,7,7,7,5,1970,49,A religious person,Female,Married,Full time
702070466,SGP,1,2,2,2,8,9,8,-1,1955,64,A religious person,Female,Divorced,Part time
702070467,SGP,1,2,3,3,9,9,7,-1,1977,42,A religious person,Female,Married,Part time
702070468,SGP,1,2,3,2,6,9,7,-1,1961,58,A religious person,Female,Married,Homemaker
702070469,SGP,1,2,2,1,6,6,5,6,1961,58,A religious person,Male,Married,Full time
702070470,SGP,1,2,3,2,5,3,8,5,1988,31,Not a religious person,Female,Married,Part time
702070471,SGP,1,1,2,2,8,8,8,7,1951,68,A religious person,Female,Single,Full time
702070472,SGP,1,1,1,1,8,8,8,9,1977,42,A religious person,Male,Married,Full time
702070473,SGP,1,3,3,2,8,6,6,6,1961,58,A religious person,Female,Married,Full time
702070474,SGP,1,2,2,1,6,6,6,6,1972,47,A religious person,Male,Single,Self employed
702070475,SGP,1,2,2,3,7,7,8,7,1988,32,A religious person,Male,Married,Full time
702070476,SGP,2,2,1,2,10,9,8,5,1991,28,A religious person,Female,Married,Full time
702070477,SGP,1,1,1,1,8,9,7,5,1984,35,A religious person,Female,Married,Homemaker
702070478,SGP,1,1,2,2,7,8,8,6,1982,38,A religious person,Female,Living together as married,Full time
702070479,SGP,1,2,2,1,7,7,7,5,1961,59,A religious person,Male,Married,Full time
702070480,SGP,1,1,3,1,8,10,7,5,1996,23,An atheist,Male,Single,Full time
702070481,SGP,1,1,3,3,7,7,7,6,1952,68,A religious person,Male,Married,Retired/pensioned
702070482,SGP,1,1,2,2,10,8,8,5,1985,34,Not a religious person,Female,Single,Full time
702070483,SGP,1,2,3,3,10,10,6,5,1972,47,An atheist,Female,Married,Full time
702070484,SGP,1,2,2,3,10,8,7,5,1944,75,Not a religious person,Male,Married,Retired/pensioned
702070485,SGP,1,2,2,2,6,7,6,6,1961,59,A religious person,Male,Married,Full time
702070486,SGP,1,1,2,4,8,8,6,6,1950,70,A religious person,Female,Married,Homemaker
